observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters
yPKDpN0	model1_data1	model1_data2	1	0	scale_yPKDpN0	std_yPKDpN0
yPKDpN0	model1_data1	model1_data2	1.61952429260506	3	scale_yPKDpN0	std_yPKDpN0
yPKDpN0	model1_data1	model1_data2	1.62346610690388	6	scale_yPKDpN0	std_yPKDpN0
yPKDpN0	model1_data1	model1_data2	1	0	scale_yPKDpN0	std_yPKDpN0
yPKDpN0	model1_data1	model1_data2	1.04144515532369	3	scale_yPKDpN0	std_yPKDpN0
yPKDpN0	model1_data1	model1_data2	1.19777253290266	6	scale_yPKDpN0	std_yPKDpN0
yPKDpN0	model1_data1	model1_data2	1	0	scale_yPKDpN0	std_yPKDpN0
yPKDpN0	model1_data1	model1_data2	1.11664558411405	3	scale_yPKDpN0	std_yPKDpN0
yPKDpN0	model1_data1	model1_data2	1.16506534825346	6	scale_yPKDpN0	std_yPKDpN0
yPKDpN24	model1_data1	model1_data2	1	24	scale_yPKDpN24	std_yPKDpN24
yPKDpN24	model1_data1	model1_data2	10.8539125071806	27	scale_yPKDpN24	std_yPKDpN24
yPKDpN24	model1_data1	model1_data2	7.90752795017749	30	scale_yPKDpN24	std_yPKDpN24
yPKDpN24	model1_data1	model1_data2	1	24	scale_yPKDpN24	std_yPKDpN24
yPKDpN24	model1_data1	model1_data2	7.67388639540471	27	scale_yPKDpN24	std_yPKDpN24
yPKDpN24	model1_data1	model1_data2	5.26782415584798	30	scale_yPKDpN24	std_yPKDpN24
yPKDpN24	model1_data1	model1_data2	1	24	scale_yPKDpN24	std_yPKDpN24
yPKDpN24	model1_data1	model1_data2	8.61855126077106	27	scale_yPKDpN24	std_yPKDpN24
yPKDpN24	model1_data1	model1_data2	8.15542502341969	30	scale_yPKDpN24	std_yPKDpN24
yPKDpN25	model1_data1	model1_data2	0.096719369366561	24	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	0.763860217509583	24.08	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	0.875441879039773	24.17	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	0.875945940205186	24.25	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.3137153148753	24.5	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1	25	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	0.170905937915681	24	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	0.910004110557928	24.08	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.0745669074101	24.17	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.27322266354761	24.25	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.30926970578305	24.5	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1	25	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	0.095728905100869	24	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	0.784837220290145	24.08	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.16906286705986	24.17	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.25508347672464	24.25	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.24718662519664	24.5	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1	25	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	0.822254768345283	24.08	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	0.825693747821561	24.17	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.38294223791404	24.25	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1.04870296129136	24.5	scale_yPKDpN25	std_yPKDpN25
yPKDpN25	model1_data1	model1_data2	1	25	scale_yPKDpN25	std_yPKDpN25
yPI4K3BpRN24	model1_data1	model1_data2	1	24	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	1.58425540718839	24.08	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.48460104800671	24.17	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.72910616614908	24.25	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	1.82027003397167	24.5	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.99534558638795	25	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.27924295295647	27	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.16054407952454	30	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	1	24	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.83372213664961	24.08	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	1.76734748628835	24.17	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	1.59286905367025	24.25	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.61621282952105	24.5	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	1.78641923752277	25	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.50705897265739	27	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	2.34829016141024	30	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
yPI4K3BpRN24	model1_data1	model1_data2	1	24	scale_yPI4K3BpRN24	std_yPI4K3BpRN24
